Star,Gaia_ID,total_cont(%),rel_cont(%) 
1,1841177816084707584,13.889,45.7788
2,1841177816084683648,3.9624,13.0603
3,1841178129618984960,2.9266,9.6462
4,1841177717302124288,2.1386,7.049
5,1841178232698201216,0.9927,3.2721
6,1841177682942388608,0.8728,2.8769
